city_code,checkin,horizon,observed,prediction,lower,upper,support,band_source
1011,2025-11-22,1,121.0,140.42282967565134,121.0,163.60764568211957,4815,horizon
1011,2025-11-23,2,129.0,182.84634123057833,152.65709929122485,213.0355831699318,4815,horizon
1011,2025-11-24,3,77.0,133.21726519746835,111.22213955000578,155.21239084493092,4815,horizon
1011,2025-11-25,4,61.0,123.95279269975713,84.72927109643165,163.17631430308262,6420,horizon
1011,2025-11-26,5,51.0,137.97594670314996,94.31494957370899,181.63694383259093,6420,horizon
1011,2025-11-27,6,120.0,476.81288008276283,325.93059743850307,627.6951627270225,6420,horizon
1011,2025-11-28,7,32.0,151.88579179734165,103.82317452149144,199.94840907319187,6420,horizon
1011,2025-11-29,8,23.0,104.55751367523679,58.70270292548232,150.41232442499125,11235,horizon
1011,2025-11-30,9,19.0,108.49790359600019,60.914992896795226,156.08081429520513,11235,horizon
1011,2025-12-01,10,28.0,131.6189755320142,73.89607258652765,189.34187847750073,11235,horizon
1011,2025-12-02,11,12.0,96.04805907283152,53.92516023128203,138.170957914381,11235,horizon
1011,2025-12-03,12,29.0,210.02792568165958,117.91794290022189,302.1379084630973,11235,horizon
1011,2025-12-04,13,38.0,609.5610170140056,342.2315435681864,876.8904904598248,11235,horizon
1011,2025-12-05,14,6.0,152.07841365488403,85.38280630783231,218.77402100193575,11235,horizon
1011,2025-12-06,15,0.0,116.3716785481585,54.65514244228381,178.08821465403318,11235,horizon
1011,2025-12-07,16,0.0,105.88132967728986,49.72824339812072,162.034415956459,11235,horizon
1011,2025-12-08,17,6.0,124.85379976308684,58.638856942223555,191.06874258395013,11235,horizon
1011,2025-12-09,18,4.0,127.18486605633397,59.73366593603818,194.63606617662975,11235,horizon
1011,2025-12-10,19,4.0,180.07477838475003,84.57395120246761,275.5756055670324,11235,horizon
1011,2025-12-11,20,12.0,733.8983547437464,344.68282675907085,1123.113882728422,11235,horizon
1011,2025-12-12,21,11.0,245.56094727363856,115.33019647859365,375.79169806868344,11235,horizon
1011,2025-12-13,22,3.0,138.4497973825831,18.93932088557918,257.960273879587,14445,horizon
1011,2025-12-14,23,1.0,111.65765104035646,15.274273580478095,208.0410285002348,14445,horizon
1011,2025-12-15,24,3.0,157.45249327280214,21.538805767174324,293.36618077842996,14445,horizon
1011,2025-12-16,25,2.0,167.67662384507366,22.937421679548862,312.4158260105985,14445,horizon
1011,2025-12-17,26,5.0,250.50277812868174,34.26767382402096,466.7378824333425,14445,horizon
1011,2025-12-18,27,13.0,779.7242623706662,106.66283581840264,1452.7856889229297,14445,horizon
1011,2025-12-19,28,0.0,165.60457365781377,22.653974364136047,308.5551729514915,14445,horizon
1011,2025-12-20,29,3.0,158.34445267748117,21.660821874828457,295.0280834801339,14445,horizon
1011,2025-12-21,30,0.0,103.96877872366478,14.222469801728835,193.71508764560073,14445,horizon
1013,2025-11-22,1,0.0,1.3489376408701964e-16,0.0,0.16510716996673924,4815,horizon
1013,2025-11-23,2,0.0,1.3489376408701964e-16,0.0,0.16510716996673924,4815,horizon
1013,2025-11-24,3,0.0,1.3489376408701964e-16,0.0,0.16510716996673924,4815,horizon
1013,2025-11-25,4,0.0,1.3489376408701964e-16,0.0,0.3164391922845507,6420,horizon
